day,value,base_day
2022-08-01,100.0,2026-02-01
2022-09-01,93.77436430196894,2026-02-01
2022-10-01,93.77436430196894,2026-02-01
2022-11-01,88.51146907917942,2026-02-01
2022-12-01,87.12577678944434,2026-02-01
2023-01-01,87.12577678944434,2026-02-01
2023-02-01,92.69022065350583,2026-02-01
2023-03-01,92.19197991453501,2026-02-01
2023-04-01,91.56636994629676,2026-02-01
2023-05-01,96.095494520252,2026-02-01
2023-06-01,101.18622931507662,2026-02-01
2023-07-01,101.18622931507662,2026-02-01
2023-08-01,101.18622931507662,2026-02-01
2023-09-01,100.7558934871074,2026-02-01
2023-10-01,100.7558934871074,2026-02-01
2023-11-01,100.7558934871074,2026-02-01
2023-12-01,100.7558934871074,2026-02-01
2024-01-01,100.7558934871074,2026-02-01
2024-02-01,99.87072211643016,2026-02-01
2024-03-01,99.87072211643016,2026-02-01
2024-04-01,99.62040343998821,2026-02-01
2024-05-01,99.99265409616399,2026-02-01
2024-06-01,101.38253308358568,2026-02-01
2024-07-01,101.38253308358568,2026-02-01
2024-08-01,95.13632830951924,2026-02-01
2024-09-01,99.40431496915684,2026-02-01
2024-10-01,101.07943037743581,2026-02-01
2024-11-01,101.07943037743581,2026-02-01
2024-12-01,99.80484787836711,2026-02-01
2025-01-01,105.66324124947957,2026-02-01
2025-02-01,103.31777950700393,2026-02-01
2025-03-01,101.30444025777341,2026-02-01
2025-04-01,101.30444025777341,2026-02-01
2025-05-01,101.30444025777341,2026-02-01
2025-06-01,100.53539630083988,2026-02-01
2025-07-01,102.30625777511403,2026-02-01
2025-08-01,102.30625777511403,2026-02-01
2025-09-01,103.07013601259885,2026-02-01
2025-10-01,103.07013601259885,2026-02-01
2025-11-01,102.14335909003218,2026-02-01
2025-12-01,102.14335909003218,2026-02-01
2026-01-01,100.0,2026-02-01
2026-02-01,100.0,2026-02-01
2026-03-01,100.0,2026-02-01
2026-04-01,99.7635024759078,2026-02-01
2026-05-01,100.1385536247152,2026-02-01
2026-06-01,100.1385536247152,2026-02-01
2026-07-01,100.1385536247152,2026-02-01
2026-08-01,100.1385536247152,2026-02-01
2026-09-01,102.42859912598561,2026-02-01
