annee,indice_nous,indice_officiel,inflation_nous_%,inflation_officiel_%
2000,92.95,83.6497532900759,,
2001,88.4,84.1682160296499,-4.9,0.62
2002,79.52,86.5212392323321,-10.05,2.8
2003,77.37,87.5315768786815,-2.7,1.17
2004,77.74,88.8388119912827,0.48,1.49
2005,85.6,89.7117791681723,10.11,0.98
2006,80.17,92.6585973033581,-6.34,3.28
2007,100.49,94.5507647375298,25.35,2.04
2008,116.05,98.0631773115057,15.48,3.71
2009,95.31,99.016217047114,-17.87,0.97
2010,100.0,100.0,4.92,0.99
2011,105.16,100.906924909692,5.16,0.91
2012,112.85,102.205720544155,7.31,1.29
2013,112.06,104.127857197756,-0.7,1.88
2014,105.1,104.588425178695,-6.21,0.44
2015,101.03,106.217815694412,-3.87,1.56
2016,117.57,107.954807470602,16.37,1.64
2017,101.35,108.76950272846,-13.8,0.75
2018,94.92,110.731613965107,-6.34,1.8
2019,94.65,111.067558219968,-0.28,0.3
2020,101.47,111.851660373914,7.21,0.71
2021,109.58,113.419774613788,7.99,1.4
2022,149.69,120.970176677427,36.6,6.66
2023,158.64,128.338641341941,5.98,6.09
2024,185.46,129.603106265852,16.91,0.99
2025,,130.512793261471,,0.7
