annee,cpi_food_officiel,cpi_general_officiel,source,source_url
2000,74.16,83.62,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2001,74.94,84.14,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2002,78.51,86.49,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2003,80.07,87.5,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2004,82.09,88.81,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2005,83.46,89.68,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2006,88.14,92.63,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2007,91.22,94.55,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2008,97.89,98.06,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2009,98.79,99.02,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2010,100.0,100.0,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2011,101.42,100.91,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2012,103.84,102.21,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2013,106.1,104.13,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2014,104.82,104.59,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2015,107.51,106.22,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2016,110.53,107.95,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2017,110.54,108.77,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2018,111.58,110.73,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2019,110.19,111.07,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2020,111.14,111.85,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2021,111.8,113.42,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2022,124.41,120.97,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2023,140.47,128.34,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2024,141.37,129.6,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2025,142.53,130.51,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
2026,142.17,130.85,"FAOSTAT - Consumer Price Indices (Maroc), base 2015=100 rebasée 2010=100",https://www.fao.org/faostat/fr/#data/CP
