annee,cpi_officiel,source,source_url
2000,83.6497532900759,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2001,84.1682160296499,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2002,86.5212392323321,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2003,87.5315768786815,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2004,88.8388119912827,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2005,89.7117791681723,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2006,92.6585973033581,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2007,94.5507647375298,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2008,98.0631773115057,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2009,99.016217047114,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2010,100.0,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2011,100.906924909692,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2012,102.205720544155,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2013,104.127857197756,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2014,104.588425178695,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2015,106.217815694412,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2016,107.954807470602,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2017,108.76950272846,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2018,110.731613965107,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2019,111.067558219968,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2020,111.851660373914,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2021,113.419774613788,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2022,120.970176677427,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2023,128.338641341941,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2024,129.603106265852,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
2025,130.512793261471,Banque mondiale - FP.CPI.TOTL (base 2010=100),https://data.worldbank.org/indicator/FP.CPI.TOTL?locations=MA
