month,index
2022-01-01,100.0
2022-02-01,100.53
2022-03-01,101.07
2022-04-01,101.61
2022-05-01,102.15
2022-06-01,102.7
2022-07-01,103.25
2022-08-01,103.8
2022-09-01,104.35
2022-10-01,104.91
2022-11-01,105.47
2022-12-01,106.03
2023-01-01,106.6
2023-02-01,107.13
2023-03-01,107.66
2023-04-01,108.19
2023-05-01,108.72
2023-06-01,109.26
2023-07-01,109.8
2023-08-01,110.35
2023-09-01,110.89
2023-10-01,111.44
2023-11-01,111.99
2023-12-01,112.55
2024-01-01,113.1
2024-02-01,113.19
2024-03-01,113.27
2024-04-01,113.36
2024-05-01,113.44
2024-06-01,113.53
2024-07-01,113.61
2024-08-01,113.7
2024-09-01,113.78
2024-10-01,113.87
2024-11-01,113.95
2024-12-01,114.04
2025-01-01,114.12
2025-02-01,114.22
2025-03-01,114.31
2025-04-01,114.4
2025-05-01,114.5
2025-06-01,114.59
2025-07-01,114.69
2025-08-01,114.78
2025-09-01,114.88
2025-10-01,114.98
2025-11-01,115.07
2025-12-01,115.17
2026-01-01,115.26
2026-02-01,115.4
2026-03-01,115.53
2026-04-01,115.66
2026-05-01,115.8
2026-06-01,115.93
2026-07-01,116.07
2026-08-01,116.2
2026-09-01,116.34
