date,product_id,produit,categorie,prix,source_url
2026-09-07,cake-oreo,CAKE INDIVIDUEL OREO,patisserie,19.95,https://aswakassalam.com/produit/cake-oreo/
2026-09-07,eclaire,ECLAIR AU CHOCOLAT,patisserie,10.95,https://aswakassalam.com/produit/eclaire/
2026-09-07,flan-x2,FLAN AUX FRUITS CONFITS,patisserie,14.95,https://aswakassalam.com/produit/flan-x2/
2026-09-07,tarte-indiv-chocolat,TARTE INDIVIDUELLE AU CHOCOLAT,patisserie,12.95,https://aswakassalam.com/produit/tarte-indiv-chocolat/
2026-09-07,baguette-a-lancienne-pavot-as,BAGUETTE A L’ANCIENNE AU PAVOT 250G,boulangerie,5.95,https://aswakassalam.com/produit/baguette-a-lancienne-pavot-as/
2026-09-07,baguette-a-lancienne-sesame-as,BAGUETTE A L’ANCIENNE AU SESAME 250G,boulangerie,5.95,https://aswakassalam.com/produit/baguette-a-lancienne-sesame-as/
2026-09-07,baguette-a-lancienne-nature-as,BAGUETTE A L’ANCIENNE NATURE 250G,boulangerie,3.5,https://aswakassalam.com/produit/baguette-a-lancienne-nature-as/
2026-09-07,brownies-chocolat-248g-kekito-bimbo,BROWNIE CHOCOLAT 248G KEKITO BIMBO,boulangerie,21.5,https://aswakassalam.com/produit/brownies-chocolat-248g-kekito-bimbo/
2026-09-07,burger-6-unites-330g-jacquet,BURGER 6 UNITES 330G JACQUET,boulangerie,35.9,https://aswakassalam.com/produit/burger-6-unites-330g-jacquet/
2026-09-07,chapelure-250g-bimbo,CHAPELURE 250G BIMBO,boulangerie,7.5,https://aswakassalam.com/produit/chapelure-250g-bimbo/
2026-09-07,chapelure-panko-200g-jessys,CHAPELURE PANKO 200G JESSY’S,boulangerie,25.5,https://aswakassalam.com/produit/chapelure-panko-200g-jessys/
2026-09-07,feuilles-de-pastilla-30cm-10-unites-200g-goldy,FEUILLES DE PASTILLA 30CM 10 UNITES 200G GOLDY,boulangerie,18.95,https://aswakassalam.com/produit/feuilles-de-pastilla-30cm-10-unites-200g-goldy/
2026-09-07,feuilles-de-pastilla-30cm-10-unites-belpate,FEUILLES DE PASTILLA 30CM 10 UNITES BELPATE,boulangerie,16.5,https://aswakassalam.com/produit/feuilles-de-pastilla-30cm-10-unites-belpate/
2026-09-07,feuilles-de-pastilla-40cm-10-unites-belpate,FEUILLES DE PASTILLA 40CM 10 UNITES BELPATE,boulangerie,22.5,https://aswakassalam.com/produit/feuilles-de-pastilla-40cm-10-unites-belpate/
2026-09-07,fonds-de-tarte-sales-8-unites-chef-du-pain,FONDS DE TARTE SALES 8 UNITES CHEF DU PAIN,boulangerie,16.5,https://aswakassalam.com/produit/fonds-de-tarte-sales-8-unites-chef-du-pain/
2026-09-07,fonds-de-tarte-sucres-8-unites-chef-du-pain,FONDS DE TARTE SUCRES 8 UNITES CHEF DU PAIN,boulangerie,17.5,https://aswakassalam.com/produit/fonds-de-tarte-sucres-8-unites-chef-du-pain/
2026-09-07,krachelle-beldi-x10,LOT DE 10 KRACHELLES BELDI,boulangerie,13.95,https://aswakassalam.com/produit/krachelle-beldi-x10/
2026-09-07,pain-au-chocolat-x-10-pces,LOT DE 10 PAINS AU CHOCOLAT,boulangerie,45.95,https://aswakassalam.com/produit/pain-au-chocolat-x-10-pces/
2026-09-07,madeleines-pur-beurre-192g-bimbo,MADELEINES PURE BEURRE 192G BIMBO,boulangerie,16.5,https://aswakassalam.com/produit/madeleines-pur-beurre-192g-bimbo/
2026-09-07,mini-burger-8-unites-assylor,MINI BURGER 8 UNITES ASSYLOR,boulangerie,11.95,https://aswakassalam.com/produit/mini-burger-8-unites-assylor/
2026-09-07,mini-pate-a-pizza-complete-12-unites-160g-assylor,MINI PATE A PIZZA COMPLETE 12 UNITES 160G ASSYLOR,boulangerie,11.95,https://aswakassalam.com/produit/mini-pate-a-pizza-complete-12-unites-160g-assylor/
2026-09-07,mini-wraps-de-farine-de-ble-10-unites-250g-deli-sun,MINI WRAPS DE FARINE DE BLE 10 UNITES 250G DELI SUN,boulangerie,21.5,https://aswakassalam.com/produit/mini-wraps-de-farine-de-ble-10-unites-250g-deli-sun/
2026-09-07,pain-au-lait-4-unites-ole-assylor,PAIN AU LAIT 4 UNITES OLE ASSYLOR,boulangerie,13.95,https://aswakassalam.com/produit/pain-au-lait-4-unites-ole-assylor/
2026-09-07,pain-au-lait-aux-pepites-de-chocolat-5-unites-ole-assylor,PAIN AU LAIT AUX PEPITES DE CHOCOLAT 5 UNITES OLE ASSYLOR,boulangerie,16.95,https://aswakassalam.com/produit/pain-au-lait-aux-pepites-de-chocolat-5-unites-ole-assylor/
2026-09-07,pain-blanc-sans-gluten-250g-schar,PAIN BLANC SANS GLUTEN 250G SCHAR,boulangerie,37.95,https://aswakassalam.com/produit/pain-blanc-sans-gluten-250g-schar/
2026-09-07,burger-avec-seasame-4-unites-bimbo,PAIN BURGER AU SESAME 4 UNITES BIMBO,boulangerie,13.95,https://aswakassalam.com/produit/burger-avec-seasame-4-unites-bimbo/
2026-09-07,pain-burger-geant-4-unites-310g-assylor,PAIN BURGER GEANT 4 UNITES 310G ASSYLOR,boulangerie,14.5,https://aswakassalam.com/produit/pain-burger-geant-4-unites-310g-assylor/
2026-09-07,pain-burger-geant-complet-4-unites-assylor,PAIN BURGER GEANT COMPLET 4 UNITES ASSYLOR,boulangerie,14.95,https://aswakassalam.com/produit/pain-burger-geant-complet-4-unites-assylor/
