produit,categorie,annee,prix_mad_par_kg,prix_usd_par_kg,produit_faostat,code_produit_cpc,drapeau_qualite,source,source_url
Blé,Céréales,2000,2.57,0.242,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2001,2.51,0.222,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2002,2.5,0.227,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2003,2.49,0.26,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2004,2.39,0.27,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2005,2.52,0.284,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2006,2.21,0.251,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2007,2.74,0.334,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2008,3.16,0.408,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2009,2.4,0.298,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2010,2.57,0.305,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2011,2.47,0.305,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2012,2.76,0.32,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2013,2.52,0.3,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2014,2.49,0.296,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2015,2.37,0.243,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2016,2.67,0.272,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2017,2.58,0.266,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2018,2.38,0.254,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2019,2.34,0.243,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2020,2.57,0.271,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2021,2.8,0.312,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2022,4.06,0.399,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2023,3.91,0.386,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Blé,Céréales,2024,4.34,0.436,Wheat,'0111,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2000,2.37,0.223,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2001,2.24,0.198,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2002,2.07,0.188,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2003,1.92,0.2,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2004,1.97,0.222,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2005,2.0,0.226,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2006,1.86,0.212,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2007,2.47,0.302,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2008,3.09,0.399,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2009,2.19,0.272,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2010,2.16,0.257,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2011,2.42,0.299,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2012,2.77,0.321,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2013,2.64,0.314,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2014,2.55,0.303,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2015,2.37,0.243,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2016,2.53,0.258,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2017,2.91,0.3,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2018,2.78,0.296,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2019,3.04,0.316,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2020,3.1,0.326,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2021,3.8,0.423,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2022,5.55,0.546,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2023,5.25,0.518,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Maïs,Céréales,2024,6.74,0.678,Maize (corn),'0112,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2000,2.27,0.214,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2001,2.19,0.194,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2002,1.64,0.149,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Orge,Céréales,2003,1.5,0.157,Barley,'0115,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
